id,text,target_entity,aspect,sentiment
0,"LOCATION2, LOCATION1",LOCATION1,transit-location,None
0,"LOCATION2, LOCATION1",LOCATION2,safety,None
0,"LOCATION2, LOCATION1",LOCATION2,transit-location,None
0,"LOCATION2, LOCATION1",LOCATION1,safety,None
0,"LOCATION2, LOCATION1",LOCATION1,general,None
0,"LOCATION2, LOCATION1",LOCATION2,general,None
0,"LOCATION2, LOCATION1",LOCATION2,price,None
0,"LOCATION2, LOCATION1",LOCATION1,price,None
1,There is a  train from London Bridge Railway Station to LOCATION1 but it is a direct one,LOCATION1,general,None
1,There is a  train from London Bridge Railway Station to LOCATION1 but it is a direct one,LOCATION1,transit-location,Positive
1,There is a  train from London Bridge Railway Station to LOCATION1 but it is a direct one,LOCATION1,price,None
1,There is a  train from London Bridge Railway Station to LOCATION1 but it is a direct one,LOCATION1,safety,None
10,steer clear of LOCATION1,LOCATION1,general,Negative
10,steer clear of LOCATION1,LOCATION1,price,None
10,steer clear of LOCATION1,LOCATION1,safety,None
10,steer clear of LOCATION1,LOCATION1,transit-location,None
100,I used to live in LOCATION1 and I liked it,LOCATION1,price,None
100,I used to live in LOCATION1 and I liked it,LOCATION1,transit-location,None
100,I used to live in LOCATION1 and I liked it,LOCATION1,general,Positive
100,I used to live in LOCATION1 and I liked it,LOCATION1,safety,None
1000,LOCATION1 is one of the most expensive areas of London,LOCATION1,price,Negative
1000,LOCATION1 is one of the most expensive areas of London,LOCATION1,transit-location,None
1000,LOCATION1 is one of the most expensive areas of London,LOCATION1,safety,None
1000,LOCATION1 is one of the most expensive areas of London,LOCATION1,general,None
1001,"The Hard Rock Cafe is close by, just by LOCATION1",LOCATION1,price,None
1001,"The Hard Rock Cafe is close by, just by LOCATION1",LOCATION1,transit-location,None
1001,"The Hard Rock Cafe is close by, just by LOCATION1",LOCATION1,general,None
1001,"The Hard Rock Cafe is close by, just by LOCATION1",LOCATION1,safety,None
1002,"Alternatively,  LOCATION1 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month",LOCATION1,general,None
1002,"Alternatively,  LOCATION1 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month",LOCATION1,price,Positive
1002,"Alternatively,  LOCATION1 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month",LOCATION1,transit-location,Positive
1002,"Alternatively,  LOCATION1 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month",LOCATION1,safety,None
1003,"LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",LOCATION1,safety,None
1003,"LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",LOCATION1,transit-location,None
1003,"LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",LOCATION1,price,None
1003,"LOCATION1, SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London",LOCATION1,general,Positive
1004,Will add to it when I think of more  lol at first answer  LOCATION1 ain't that bad,LOCATION1,price,None
1004,Will add to it when I think of more  lol at first answer  LOCATION1 ain't that bad,LOCATION1,transit-location,None
